"","foodname","X1640","X1641","X1642","X1643","X1644","X1645","X1646","X1647","X1648","X1649","X1650","X1651","X1652","X1653","X1654","X1655","X1656","X1657","X1658","X1659","X1660","X1661","X1662","X1663","X1664","X1665","X1666","X1667","X1668","X1669","X1670","X1671","X1672","X1673","X1674","X1675","X1676","X1677","X1678","X1679","X1680","X1681","X1682","X1683","X1684","X1685","X1686","X1687","X1688","mean","max","min"
"1","almonds",NA,78,NA,NA,51,90,82,NA,27,NA,NA,NA,NA,NA,NA,NA,7,52,NA,44,NA,NA,NA,74,58,NA,NA,NA,15,NA,43,84,72,132,6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.4375,132,2
"2","apples",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,38,NA,NA,NA,288,NA,NA,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2222222222222,288,1
"3","Atlantic herring",NA,1,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14285714285714,2,1
"4","aurochs",NA,1,NA,NA,1,3,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85714285714286,26,1
"5","bacon",NA,56,NA,NA,47,71,64,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,23.75,NA,NA,2.5,71,15,NA,NA,NA,22,NA,7.75,2,13.5,13,NA,NA,0.25,NA,NA,44,NA,36,1,0.5,NA,NA,NA,1,NA,21.8625,71,0.25
"6","barley groats",NA,40,NA,NA,28,7,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,740,NA,NA,48,45,64,NA,NA,NA,51,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,384,NA,NA,NA,NA,NA,NA,NA,123.333333333333,740,1
"7","beef",NA,81,NA,NA,39,25,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,82,25,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3333333333333,82,0
"8","beer vinegar",NA,108,NA,NA,73,89,8,NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,13,28,NA,NA,NA,45,NA,NA,NA,11,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4545454545455,89,0
"9","Big sheep cheese",NA,45,NA,NA,67,9,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,67,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.875,92,0
"10","black grouse",NA,46,NA,NA,95,21,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,91,77,NA,NA,NA,1,NA,0,2,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2727272727273,95,0
"11","boar bacon",NA,52,NA,NA,1,37,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.625,37,0
"12","Brandenburg hard cheese",NA,32,NA,NA,85,40,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,26,39,NA,NA,NA,21,NA,NA,128,5160,3780,1560,1200,120,840,840,60,960,NA,960,120,960,960,960,NA,1080,832.875,5160,0
"13","brined/pickled castrated ram (wether)",NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,57,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,57,1
"14","brined/pickled goose",NA,59,NA,NA,1,99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.125,99,0
"15","brined/pickled lamb",NA,99,NA,NA,83,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.125,83,0
"16","brined/pickled sheep",NA,11,NA,NA,26,10,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.125,49,0
"17","buckwheat groats",NA,54,NA,NA,75,100,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,7,18,NA,NA,NA,2,NA,3,3,NA,NA,NA,NA,NA,NA,NA,155,NA,240,NA,NA,NA,NA,NA,NA,NA,50.75,240,0
"18","burpot",NA,34,NA,NA,1,1,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.875,32,0
