translation,category,macrocategory,subcategory,z1641,z1644,z1645,z1646,z1648,z1656,z1657,z1659,z1662,z1663,z1664,z1665,z1668,z1670,z1671,z1672,z1673,z1674,z1675,z1676,z1677,z1678,z1679,z1680,z1681,z1682,z1683,z1684,z1685,z1686,z1687,z1688,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
almonds,Nuts,Flavoring/Other,,0.664877023894889,-0.0980693610244961,1.00396430608128,0.77790611795702,-0.74798665188175,-1.34138939570794,-0.0415548139934305,-0.267613002117693,,0.551847929832758,0.0997315535842334,,-1.11533120758368,-0.295870275633226,0.862677938503619,0.523590656317225,2.21902706724919,-1.34138939570794,,,,,-1.45441848977007,,,,,,,,,,52.4375,132,2,,491,,,250.5,571.5,636.75,,27,,,,,,,,188,52,,44,,,,588,414,,,,14,,43,84,72,132,6,,,,,2,,,,,,,,,
apples,Fruit,Fruits and Vegetables,,,,,,,,,,,,,,-0.61569049766011,,,1.15383219217982,,,,,,,-0.538141694519714,,,,,,,,,,42.2222222222222,288,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,288,,,,,,,48,,,,,,,,,
Atlantic herring,Fish,Meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14285714285714,2,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aurochs,Meat,Meat,game,,,-0.707106781186548,0.707106781186548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85714285714286,26,1,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bacon,Meat,Meat,pork,1.22335694812188,0.865155645703109,1.82035911881982,1.54175810582745,-0.925850866390734,,,-0.0203975741655132,-0.866150649320939,1.82035911881982,-0.408448985119179,,-0.129847972126804,-0.657199889576657,-0.886050721677537,-0.428349057475777,-0.448249129832376,,,-0.955700974925631,,,0.785555356276716,,0.467154198571144,-0.925850866390734,-0.945750938747332,,,,-0.925850866390734,,21.8625,71,0.25,,275.87,,,231.87,365.87,476.75,,1,,,,,,,,,,,23.75,,,2.5,546,121.25,,,,19,,7.75,2,13.5,13,,,0.25,,,44,,36,1,0.5,,,,1,
barley groats,Grain,Grain,,-0.398820215156317,-0.453829900005464,-0.550096848491472,-0.30255326667031,,,,2.8146622081147,-0.357562951519457,-0.375899513135839,-0.288800845458023,,-0.348394670711266,-0.563849269703759,,,,,,,,,-0.357562951519457,,1.18270822425666,,,,,,,,123.333333333333,740,1,,2,,,149.5,"1,431.5",452,,,,,,,,,,,,,740,,,48,2842,453,,,,9,,3,,,,,,,,,48,,384,,,,,,,
beef,Meat,Meat,Beef,1.26114141518666,0.0450407648280949,-0.360326118624759,1.17427708301819,,,,-0.968376443804039,,1.29009619257615,-0.360326118624759,-1.05524077597251,-1.02628599858302,,,,,,,,,,,,,,,,,,,,28.3333333333333,82,0,,5.25,,,2,14.5,6,,,,,,,,,,,,,3,,,,7,18,0,,,0,,,,,,,,,,,,,,,,,,,,
beer vinegar,Acid,Flavoring/Other,,1.92161032463818,0.967003905301794,1.40339541128414,-0.805836587751495,-0.805836587751495,,,-0.996757871618772,,-0.669464242132011,-0.26034720527356,,0.203318769832685,,,-0.696738711255908,-0.26034720527356,,,,,,,,,,,,,,,,27.4545454545455,89,0,,8438,,,4352,5518,10848,,7,,,,,,,,,,,0,,,,12053,1920,,,,63.5,,,,11,27,,,,,,,,,,,,,,,
Big sheep cheese,Dairy,Dairy,,0.124328656542649,0.72266031615415,-0.854759513730715,1.40258265662176,,,,-1.07233466268035,,0.72266031615415,,,-1.04513776906165,,,,,,,,,,,,,,,,,,,,29.875,92,0,,22,,,4,10,8,,,,,,,,,,,,,0,,,,5,,,,,0,,,,,,,,,,,,,,,,,,,,
black grouse,Meat,Meat,"bird, fowl, wild",0.126908154902639,1.47875589190901,-0.562810078263878,-0.176567867690628,,,,-1.11458466479709,,1.36840097460237,0.982158764029121,,,-1.11458466479709,-1.05940720614377,,,,,,,,0.0717306962493178,,,,,,,,,,33.2727272727273,95,0,,228,,,74,122,287,,,,,,,,,,,,,0,,,,853,69,,,,,,0,2,,,,,,,,43,,,,,,,,,
