year,num_days,perc_year
1640,41,0.11
1641,334,0.92
1642,365,1
1643,59,0.16
1644,0,
1645,334,0.92
1646,120,0.33
1647,0,0
1648,0,0
1649,0,0
1650,0,0
1651,0,0
1652,0,0
1653,0,0
1654,0,0
1655,62,0.17
1656,275,0.75
1657,352,0.96
1658,0,0
1659,0,0
1660,0,0
1661,0,0
1662,0,0
1663,269,0.74
1664,0,0
1665,0,0
1666,0,0
1667,0,0
1668,116,0.32
1669,243,0.67
1670,0,0
1671,0,0
1672,0,0
1673,0,0
1674,0,0
1675,0,0
1676,0,0
1677,0,0
1678,0,0
1679,21,0.06
1680,0,0
1681,0,0
1682,0,0
1683,0,0
1684,0,0
1685,0,0
1686,0,0
1687,0,0
1688,0,0
